payload,label,source
"Calｌe+Loｓ+Hoteliｔｏｓ+S/N,+",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
\u006eovelia,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Kia\u0072a,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
gayｅra,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"modo=registro&login=hormoz&password=79Ari68&nombre=Tamar&apellidos=Unger&email=ferrandis@ilusionarium.is&dni=27110453P&direccion=C/+Tampa,+34+&ciudad=Molares,+Los&cp=05410&provincia=%7C&ntc=7701457023954310&B1=Registrar",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"C/+Gaｎdｉa+89,+5?D",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
chｉapa,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
miｓｓlitz,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"Vｅracrｕz,+S/N+2?F",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
maraslｉy,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"Aｌfredｏ+Dｏｎay+178,+",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
A?ｌfaraz+dｅ+Sayagｏ,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Saｓtre+Molt�,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
freebｕrｎ,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
exｕdar,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"Laｎzarｏtｅ,+37+",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Calle%2BZubia%2B7%2B,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Travesia%252BEchavacoiz%252BAlto%252C%252B108%252C%252B,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
\u0065rr\u006fr\u004d\u0073\u0067=|,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"{""a"":{""b"":""id=3&nombre=Vino+Rioja&precio=100&cantidad=70&B1=A�adir+al+carrito%20""}}",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"Gｏｎgｏra,+129+",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"C/+Maｅｓtrｏ+Macｉaｓ,+77,+3C",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Jｏav,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
fa\u0072a\u0068,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Saｎta+Crｕz+de+Teｎｅrifｅ,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
\u006belli,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
\u0072\u006fque,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
bｕhler,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
embeｌeｓar,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"Hermanaｓ+Sanchez+Tamargｏ,+56+",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Vino+Rioja%2B,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
chihhｕa,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
cheｔ,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
thu\u0079,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
\u0065mpa\u0063ho,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"C/+Gｕaｔemaｌa,+S/N,+6G",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
Carrer%252BSant%252BFruitos%252B1%252C%252B,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
"modo=registro&login=rajan&password=paLmear&nombre=Amparo&apellidos=Martin+Bansells&email=hampden-baker8@unidadesdeventilacion.cy&dni=48800601Y&direccion=Calle+Formentera,+184+4-C&ciudad=San+Garc�a+de+Ingelmos&cp=%20&provincia=Burgos&ntc=1524098225377304&B1=Registrar",SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
c\u006f\u0077ley,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
dｕｎlap,SQLi,regression_fn:eval_obf_misses_regression_full_nocache.jsonl
